pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-27,92.3,2.01,6.06,"Matsui, Yuki",687952,673513,field_out,hit_into_play,,,,,2.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,X,9.0,fly_ball,2,2,2025,0.42,1.54,-0.18,3.03,,,,2,5,Bot,173.03,132.67,,,,,-6.444941824815804,-134.22196485560633,-5.19699812134408,6.520708977608955,28.973103622926548,-12.65917451616505,3.29,1.5,205.0,81.9,57.0,91.7,2330.0,6.0,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.53,0.026,0.023,0.0,1.0,0.0,0.0,3.0,43,7,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,155.0,0.0,-0.225,75.9,6.7,0.03,0.225,88.0,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,1.14,0.42,-0.42,55.6,10.620497533221243,3.313429982035587,32.51319208278809,33.5860712569729,27.245943714279633
FF,2025-06-27,91.3,1.94,6.12,"Matsui, Yuki",687952,673513,,foul,,,,,6.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,S,,,2,2,2025,0.46,1.59,0.58,2.46,,,,2,5,Bot,,,,,,,-4.380075442166975,-132.77168857224524,-6.639545085572796,6.482000930103363,30.867035417847543,-12.136996966500702,3.29,1.5,116.0,90.5,80.0,90.3,2439.0,5.9,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.56,,,,,,,,43,6,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,159.0,0.0,0.0,77.6,7.8,,0.0,90.5,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,1.17,0.46,-0.46,56.5,14.34496915374727,-5.002437762419266,33.8331950229461,42.518400189914544,32.21477038371618
FS,2025-06-27,85.0,2.08,6.05,"Matsui, Yuki",687952,673513,,ball,,,,,13.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,B,,,1,2,2025,0.73,0.32,-0.62,0.69,,,,2,5,Bot,,,,,,,-7.73276237281483,-123.47309925017107,-6.821735772633214,8.967865246957567,24.79255718755315,-27.68234954995268,3.45,1.59,,,,84.3,1445.0,6.0,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.53,,,,,,,,43,5,Split-Finger,8,0,8,0,0,8,8,0,Standard,Standard,127.0,0.0,0.044,,,,-0.044,,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,2.85,0.73,-0.73,53.6,,,,,
SL,2025-06-27,83.5,1.91,6.14,"Matsui, Yuki",687952,673513,,foul,,,,,3.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,S,,,1,2,2025,-0.14,0.32,0.45,3.07,,,,2,5,Bot,,,,,,,-3.0662790969889873,-121.79581464572595,-1.3756598162975515,-0.8557186013465126,20.66027979575713,-28.909731904995176,3.29,1.5,168.0,76.2,69.0,83.4,2691.0,5.8,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.68,,,,,,,,43,4,Slider,8,0,8,0,0,8,8,0,Standard,Standard,201.0,0.0,0.0,70.9,7.2,,0.0,88.0,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,2.9,-0.14,0.14,52.8,8.192535097598746,0.5816883836029635,28.361404070564344,40.39937402290756,26.351717274683367
FF,2025-06-27,92.1,1.97,6.09,"Matsui, Yuki",687952,673513,,foul,,,,,1.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,S,,,1,1,2025,0.34,1.41,-0.46,2.83,,,,2,5,Bot,,,,,,,-6.845897393971853,-133.91882550429847,-5.482077329507374,5.5486832108370905,28.488589286584375,-14.163709687153007,3.29,1.5,13.0,93.6,-12.0,91.5,2541.0,5.9,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.58,,,,,,,,43,3,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,162.0,0.0,-0.063,76.5,7.4,,0.063,93.6,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,1.27,0.34,-0.34,57.6,25.17873708501944,-16.51631649227851,36.57506358510432,29.33866451607697,37.72580980367118
FS,2025-06-27,85.2,2.04,6.0,"Matsui, Yuki",687952,673513,,ball,,,,,13.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,B,,,0,1,2025,1.01,0.13,-0.13,-0.63,,,,2,5,Bot,,,,,,,-7.0704595479853305,-123.6815935468223,-9.4314546726784,11.817122035552403,24.62244612501996,-29.154951855701807,3.37,1.5,,,,84.4,1253.0,5.9,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.59,,,,,,,,43,2,Split-Finger,8,0,8,0,0,8,8,0,Standard,Standard,137.0,0.0,0.028,,,,-0.028,,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,3.03,1.01,-1.01,54.8,,,,,
FS,2025-06-27,85.0,2.04,6.05,"Matsui, Yuki",687952,673513,,swinging_strike,,,,,14.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,S,,,0,0,2025,0.78,0.01,0.6,0.5,,,,2,5,Bot,,,,,,,-4.932580675393634,-123.58766325570788,-6.695913037128446,8.983699126185853,24.158038135465944,-30.914933373239332,3.29,1.5,,,,84.7,1349.0,6.1,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.42,,,,,,,,43,1,Split-Finger,8,0,8,0,0,8,8,0,Standard,Standard,125.0,0.0,-0.045,76.0,8.5,,0.045,,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,3.14,0.78,-0.78,52.2,20.18472679915356,-10.268168219809946,42.74872714176984,43.56105150221242,41.4434620360651
SL,2025-06-27,88.4,2.01,6.1,"Matsui, Yuki",666181,673513,field_out,hit_into_play,,,,,1.0,Will Benson pops out to first baseman Luis Arraez in foul territory.,R,L,L,CIN,SD,X,3.0,popup,0,1,2025,-0.45,0.7,-0.44,3.27,,,,1,5,Bot,139.78,198.84,,,,,-4.997554003673544,-128.65492075162084,-2.255203472037566,-3.904112066864516,27.322566268270727,-24.14793112057363,3.83,1.79,35.0,76.5,80.0,87.6,2679.0,5.8,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.67,0.003,0.003,0.0,1.0,0.0,0.0,3.0,42,2,Slider,8,0,8,0,0,8,8,0,Infield shade,Standard,202.0,0.0,-0.218,,,0.003,0.218,88.0,8,8,0.994,0.994,29,27,30,27,1,2,4.0,4.0,5.0,1.0,2.22,-0.45,-0.45,52.0,,,,,
FF,2025-06-27,92.5,1.99,6.19,"Matsui, Yuki",666181,673513,,foul,,,,,3.0,Will Benson pops out to first baseman Luis Arraez in foul territory.,R,L,L,CIN,SD,S,,,0,0,2025,0.54,1.67,0.76,3.46,,,,1,5,Bot,,,,,,,-4.286097946894394,-134.5049402508487,-4.678468478705143,7.559611604155351,31.92109010380308,-11.199206967724388,3.83,1.79,358.0,101.4,39.0,91.4,2475.0,5.9,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.63,,,,,,,,42,1,4-Seam Fastball,8,0,8,0,0,8,8,0,Infield shade,Standard,166.0,0.0,-0.039,67.5,7.0,,0.039,101.4,8,8,0.994,0.994,29,27,30,27,1,2,4.0,4.0,5.0,1.0,1.02,0.54,0.54,59.6,23.331581999744863,-20.1232424129625,27.263135289243216,30.387914115906376,31.472378623235834
FS,2025-06-27,83.8,2.21,6.04,"Matsui, Yuki",668715,673513,home_run,hit_into_play,,,,,6.0,Spencer Steer homers (9) on a fly ball to left field. Gavin Lux scores.,R,R,L,CIN,SD,X,,fly_ball,1,1,2025,0.45,0.43,0.41,2.51,,,666158.0,1,5,Bot,44.33,76.37,,,,,-5.011847407048456,-121.84028090890185,-2.483536397263175,5.524161997435017,27.083023534662004,-27.61338527977428,3.35,1.53,364.0,101.7,25.0,82.8,995.0,5.9,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.56,0.654,1.132,2.0,1.0,0.0,3.0,6.0,41,3,Split-Finger,6,0,6,0,0,8,8,0,Standard,Standard,120.0,0.013,1.486,72.6,8.0,2.113,-1.486,101.7,6,6,0.981,0.981,29,27,30,28,1,2,4.0,2.0,5.0,1.0,2.86,0.45,-0.45,50.7,12.740622653088394,-20.496077928657844,28.14853219423444,38.9692718009374,39.98085318789839
