pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-06-12,92.8,-2.01,5.81,"Senga, Kodai",682928,673540,field_out,hit_into_play,,,,,5.0,"CJ Abrams grounds out, first baseman Pete Alonso to pitcher Kodai Senga.",R,L,R,NYM,WSH,X,3.0,ground_ball,1,0,2025,0.07,0.68,0.08,2.82,,,,1,6,Top,158.4,164.86,,,,,5.240508979565705,-134.96757521727395,-3.2773284398865146,-0.45766058695173,33.715375603833294,-23.424920550396426,3.47,1.59,8.0,99.1,-19.0,92.7,2701.0,6.6,777544,682626,624413,643446,683146,596019,607043,621438,665742,53.89,0.157,0.166,0.0,1.0,0.0,0.0,2.0,41,2,Cutter,4,0,0,4,0,4,0,4,Infield shade,Standard,193.0,0.01,-0.297,74.9,7.7,0.157,0.297,99.1,4,-4,0.941,0.059,32,24,32,25,3,2,6.0,1.0,29.0,1.0,2.01,-0.07,0.07,46.5,12.77870478431162,-7.365821371188027,23.067103637545276,37.56911241588846,33.009607915359496
FO,2025-06-12,82.5,-2.29,5.74,"Senga, Kodai",682928,673540,,ball,,,,,13.0,"CJ Abrams grounds out, first baseman Pete Alonso to pitcher Kodai Senga.",R,L,R,NYM,WSH,B,,,0,0,2025,-0.66,-0.28,-0.56,1.45,,,,1,6,Top,,,,,,,5.229839369910433,-119.96125949231867,-2.6522830614682764,-7.369768560331102,24.535491228357618,-34.5692109815079,3.75,1.73,,,,82.4,1276.0,6.4,777544,682626,624413,643446,683146,596019,607043,621438,665742,54.1,,,,,,,,41,1,Forkball,4,0,0,4,0,4,0,4,Standard,Standard,253.0,0.0,0.04,,,,-0.04,,4,-4,0.941,0.059,32,24,32,25,3,2,6.0,1.0,29.0,1.0,3.65,0.66,-0.66,39.7,,,,,
FO,2025-06-12,82.4,-2.06,5.84,"Senga, Kodai",690987,673540,strikeout,swinging_strike,,,,,13.0,Robert Hassell III strikes out swinging.,R,L,R,NYM,WSH,S,2.0,,2,2,2025,-0.97,-0.12,-0.27,1.19,,,,0,6,Top,,,,,,,5.953583493397562,-119.86776421311262,-3.783480765313609,-10.514162449872543,24.36217145864667,-32.794301753356095,3.29,1.55,,,,82.3,1121.0,6.3,777544,682626,624413,643446,683146,596019,607043,621438,665742,54.18,,0.0,0.0,1.0,0.0,0.0,,40,5,Forkball,4,0,0,4,0,4,0,4,Strategic,Standard,249.0,0.015,-0.234,68.3,7.9,,0.234,,4,-4,0.926,0.074,32,23,32,24,2,1,6.0,2.0,29.0,1.0,3.5,0.97,-0.97,46.3,19.1481503206219,-13.977982783701654,38.83252152204451,36.16249521848842,47.78559595408475
FF,2025-06-12,94.9,-1.99,5.89,"Senga, Kodai",690987,673540,,foul,,,,,1.0,Robert Hassell III strikes out swinging.,R,L,R,NYM,WSH,S,,,2,1,2025,-0.46,1.54,-0.43,3.23,,,,0,6,Top,,,,,,,5.145054363655371,-137.9223399690041,-4.637581972463332,-7.110405757786971,36.186669482434645,-11.85782387508632,3.29,1.55,228.0,79.1,49.0,94.5,2456.0,6.6,777544,682626,624413,643446,683146,596019,607043,621438,665742,53.94,,,,,,,,40,4,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,217.0,0.0,-0.073,69.2,6.2,,0.073,88.0,4,-4,0.926,0.074,32,23,32,24,2,1,6.0,2.0,29.0,1.0,1.04,0.46,-0.46,44.4,5.325260100377321,22.035764324333886,31.16146049553669,38.17671749875318,29.119621476302612
FO,2025-06-12,80.8,-2.0,5.88,"Senga, Kodai",690987,673540,,ball,,,,,13.0,Robert Hassell III strikes out swinging.,R,L,R,NYM,WSH,B,,,1,1,2025,-0.65,0.04,-0.95,1.15,,,,0,6,Top,,,,,,,3.5847976043447995,-117.4404077216226,-3.857631104039485,-6.701779107878135,25.679245268414657,-31.222182885847133,3.2,1.55,,,,80.5,1193.0,6.5,777544,682626,624413,643446,683146,596019,607043,621438,665742,53.98,,,,,,,,40,3,Forkball,4,0,0,4,0,4,0,4,Standard,Standard,244.0,0.0,0.054,,,,-0.054,,4,-4,0.926,0.074,32,23,32,24,2,1,6.0,2.0,29.0,1.0,3.51,0.65,-0.65,44.3,,,,,
FF,2025-06-12,93.8,-1.95,5.89,"Senga, Kodai",690987,673540,,swinging_strike,,,,,11.0,Robert Hassell III strikes out swinging.,R,L,R,NYM,WSH,S,,,1,0,2025,-0.33,1.55,-1.08,2.81,,,,0,6,Top,,,,,,,2.9866583283081605,-136.34157143078303,-5.5080820834726305,-4.859452372523922,38.2420503651206,-11.999276859388743,3.29,1.55,,,,92.9,2448.0,6.5,777544,682626,624413,643446,683146,596019,607043,621438,665742,54.05,,,,,,,,40,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,210.0,0.0,-0.049,71.4,6.9,,0.049,,4,-4,0.926,0.074,32,23,32,24,2,1,6.0,2.0,29.0,1.0,1.11,0.33,-0.33,46.4,12.173217481909244,15.36236348085635,32.67303605778207,46.19281404311607,28.167224445538036
FF,2025-06-12,93.7,-1.92,5.8,"Senga, Kodai",690987,673540,,ball,,,,,13.0,Robert Hassell III strikes out swinging.,R,L,R,NYM,WSH,B,,,0,0,2025,-0.38,1.5,-0.56,1.3,,,,0,6,Top,,,,,,,4.363113132680514,-136.03728250448887,-9.108521134486727,-5.837373025981494,34.94771887030937,-11.703365005249175,3.19,1.56,,,,93.1,2357.0,6.4,777544,682626,624413,643446,683146,596019,607043,621438,665742,54.06,,,,,,,,40,1,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,216.0,0.0,0.04,,,,-0.04,,4,-4,0.926,0.074,32,23,32,24,2,1,6.0,2.0,29.0,1.0,1.15,0.38,-0.38,48.1,,,,,
FO,2025-06-12,83.8,-1.98,5.94,"Senga, Kodai",660688,673540,field_out,hit_into_play,,,,,13.0,Keibert Ruiz flies out to center fielder Tyrone Taylor.,R,L,R,NYM,WSH,X,8.0,fly_ball,2,2,2025,-0.7,0.4,-0.02,0.79,,,677588.0,2,5,Top,151.88,76.74,,,,,5.909169466706737,-121.72657838465716,-6.236362759674435,-8.097520661609092,24.860611026868312,-27.174569908717327,3.37,1.57,311.0,84.9,29.0,83.6,1064.0,6.4,777544,682626,624413,643446,683146,596019,607043,621438,665742,54.12,0.046,0.053,0.0,1.0,0.0,0.0,3.0,35,5,Forkball,3,0,0,3,0,3,0,3,Infield shade,Standard,244.0,0.021,-0.219,62.7,7.9,0.092,0.219,88.0,3,-3,0.871,0.129,32,26,32,27,2,1,6.0,2.0,29.0,1.0,2.87,0.7,-0.7,47.8,13.137759082698672,-9.067296456350867,43.246643467426615,32.4546598255179,36.16216114167735
FC,2025-06-12,88.5,-2.04,5.92,"Senga, Kodai",660688,673540,,called_strike,,,,,8.0,Keibert Ruiz flies out to center fielder Tyrone Taylor.,R,L,R,NYM,WSH,S,,,2,1,2025,0.0,0.93,-0.16,1.98,,,677588.0,2,5,Top,,,,,,,4.593503980771861,-128.80433512593194,-5.505267491501132,-0.9828762455382656,26.53937108503745,-20.878173828720943,3.18,1.51,,,,88.8,2481.0,6.5,777544,682626,624413,643446,683146,596019,607043,621438,665742,54.04,,,,,,,,35,4,Cutter,3,0,0,3,0,3,0,3,Infield shade,Standard,205.0,0.0,-0.088,,,,0.088,,3,-3,0.871,0.129,32,26,32,27,2,1,6.0,2.0,29.0,1.0,1.98,0.0,0.0,54.0,,,,,
FO,2025-06-12,82.8,-2.26,5.96,"Senga, Kodai",660688,673540,,ball,,,,,13.0,Keibert Ruiz flies out to center fielder Tyrone Taylor.,R,L,R,NYM,WSH,B,,,1,1,2025,-0.67,0.44,-1.25,2.02,,,677588.0,2,5,Top,,,,,,,3.590567222631271,-120.46207659639713,-3.302292669782415,-7.205617391835086,25.9008657410528,-27.436413797105917,3.17,1.49,,,,82.3,1302.0,6.2,777544,682626,624413,643446,683146,596019,607043,621438,665742,54.28,,,,,,,,35,3,Forkball,3,0,0,3,0,3,0,3,Infield shade,Standard,252.0,0.0,0.051,,,,-0.051,,3,-3,0.871,0.129,32,26,32,27,2,1,6.0,2.0,29.0,1.0,2.91,0.67,-0.67,44.3,,,,,
