pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-06-27,85.1,-2.5,5.99,"Sugano, Tomoyuki",676609,608372,field_out,hit_into_play,,,,,6.0,José Caballero pops out to catcher Gary Sánchez in foul territory.,R,R,R,BAL,TB,X,2.0,popup,0,0,2025,0.8,0.21,0.67,2.43,,,666139.0,2,5,Top,115.84,210.97,,,,,5.82907274439457,-123.89466168439456,-2.4786152268095023,7.13048550138664,23.860476941209622,-29.75990134629653,3.19,1.48,36.0,83.9,85.0,85.2,2550.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.28,0.003,0.003,0.0,1.0,0.0,0.0,3.0,47,1,Sweeper,5,7,7,5,7,5,7,5,Standard,Standard,89.0,0.018,-0.273,70.9,7.7,0.003,0.273,88.0,-2,2,0.259,0.741,35,28,36,29,3,2,7.0,2.0,5.0,3.0,2.93,-0.8,-0.8,39.6,19.327356284527923,-19.36738729212779,31.19389838514284,35.18003375358954,42.254390331231335
FC,2025-06-27,86.9,-2.52,5.95,"Sugano, Tomoyuki",666139,608372,single,hit_into_play,,,,,7.0,Josh Lowe singles on a fly ball to center fielder Cedric Mullins.,R,L,R,BAL,TB,X,8.0,fly_ball,1,1,2025,0.51,0.46,-0.71,2.13,,,,2,5,Top,100.14,106.28,,,,,3.29782553668136,-126.59203440496069,-3.996679402218653,4.950047174693889,21.844847736847388,-26.685563123148075,3.72,1.81,233.0,74.6,42.0,87.6,2402.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.18,0.171,0.185,0.9,1.0,1.0,0.0,3.0,46,3,Cutter,5,7,7,5,7,5,7,5,Infield shade,Standard,169.0,-0.01,0.346,81.0,7.6,0.238,-0.346,88.0,-2,2,0.269,0.731,35,27,36,27,3,2,7.0,1.0,5.0,1.0,2.52,-0.51,0.51,39.2,8.323930743070513,-1.386641662191419,35.224721297896494,46.90941562361452,33.651180499432144
FS,2025-06-27,86.6,-2.31,6.01,"Sugano, Tomoyuki",666139,608372,,ball,,,,,13.0,Josh Lowe singles on a fly ball to center fielder Cedric Mullins.,R,L,R,BAL,TB,B,,,0,1,2025,-1.06,0.43,-0.72,0.86,,,,2,5,Top,,,,,,,5.936506579739238,-125.87864785819488,-6.950226247562988,-12.463600014404664,25.341024140578497,-26.376491608120748,3.84,1.78,,,,86.5,1773.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.22,,,,,,,,46,2,Split-Finger,5,7,7,5,7,5,7,5,Infield shade,Standard,216.0,0.0,0.028,,,,-0.028,,-2,2,0.269,0.731,35,27,36,27,3,2,7.0,1.0,5.0,1.0,2.61,1.06,-1.06,41.2,,,,,
CU,2025-06-27,78.6,-2.28,6.09,"Sugano, Tomoyuki",666139,608372,,called_strike,,,,,7.0,Josh Lowe singles on a fly ball to center fielder Cedric Mullins.,R,L,R,BAL,TB,S,,,0,0,2025,1.08,-1.24,-0.69,2.11,,,,2,5,Top,,,,,,,1.434037943876599,-114.4540312284776,0.5092232625154209,9.178125729961431,22.04052296618752,-43.34608242121607,3.72,1.57,,,,78.4,2624.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.29,,,,,,,,46,1,Curveball,5,7,7,5,7,5,7,5,Infield shade,Standard,51.0,0.0,-0.045,,,,0.045,,-2,2,0.269,0.731,35,27,36,27,3,2,7.0,1.0,5.0,1.0,4.94,-1.08,1.08,43.6,,,,,
FS,2025-06-27,87.0,-2.4,6.01,"Sugano, Tomoyuki",663968,608372,field_out,hit_into_play,,,,,13.0,"Jake Mangum grounds out, second baseman Jackson Holliday to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,X,4.0,ground_ball,1,2,2025,-0.87,0.46,-0.85,1.86,,,,1,5,Top,141.17,163.34,,,,,5.527513818818956,-126.57990723885348,-4.727760062440965,-10.505692606256751,26.40371519740717,-26.423029394098094,3.37,1.5,4.0,76.4,-24.0,87.1,1447.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.07,0.026,0.038,0.0,1.0,0.0,0.0,2.0,45,4,Split-Finger,5,7,7,5,7,5,7,5,Standard,Standard,215.0,0.013,-0.182,72.6,7.3,0.026,0.182,88.0,-2,2,0.256,0.744,35,29,36,29,3,2,7.0,1.0,5.0,1.0,2.56,0.87,-0.87,41.9,4.637147257379749,7.609948192189557,27.14709822362459,47.1686785891373,21.0772046825126
FF,2025-06-27,92.2,-2.27,6.02,"Sugano, Tomoyuki",663968,608372,,foul,,,,,3.0,"Jake Mangum grounds out, second baseman Jackson Holliday to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,S,,,1,1,2025,-0.22,1.56,0.66,3.0,,,,1,5,Top,,,,,,,7.926660708067243,-133.98510847628935,-5.210825696674727,-4.5153844387938475,31.196106286814523,-12.416558824633986,3.37,1.5,217.0,66.3,48.0,91.8,2450.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.18,,,,,,,,45,3,4-Seam Fastball,5,7,7,5,7,5,7,5,Standard,Standard,208.0,0.0,-0.064,62.4,6.0,,0.064,88.0,-2,2,0.256,0.744,35,29,36,29,3,2,7.0,1.0,5.0,1.0,1.14,0.22,-0.22,41.0,3.2413203716160774,2.4115471710245124,28.53559720791251,28.44557994068325,20.041798912133117
FS,2025-06-27,87.1,-2.37,5.94,"Sugano, Tomoyuki",663968,608372,,swinging_strike,,,,,7.0,"Jake Mangum grounds out, second baseman Jackson Holliday to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,S,,,1,0,2025,-1.48,0.52,-0.45,1.43,,,,1,5,Top,,,,,,,7.670686490208548,-126.4732303315698,-5.667859433497714,-17.466347084590826,28.108767398616553,-25.53894560388438,3.37,1.5,,,,86.9,1742.0,6.5,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.04,,,,,,,,45,2,Split-Finger,5,7,7,5,7,5,7,5,Standard,Standard,221.0,0.0,-0.05,68.2,8.4,,0.05,,-2,2,0.256,0.744,35,29,36,29,3,2,7.0,1.0,5.0,1.0,2.52,1.48,-1.48,40.2,26.391826405170693,-23.471801712261566,28.836595299326525,41.38619817076273,41.86181608671554
SI,2025-06-27,91.9,-2.38,6.08,"Sugano, Tomoyuki",663968,608372,,ball,,,,,11.0,"Jake Mangum grounds out, second baseman Jackson Holliday to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,B,,,0,0,2025,-1.08,1.07,-1.14,3.2,,,,1,5,Top,,,,,,,5.438201201743994,-133.7267646697957,-3.7186826466384977,-14.138390366964355,30.604047125587204,-18.765186368208273,3.22,1.28,,,,91.2,2254.0,6.0,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.47,,,,,,,,45,1,Sinker,5,7,7,5,7,5,7,5,Standard,Standard,205.0,0.0,0.04,,,,-0.04,,-2,2,0.256,0.744,35,29,36,29,3,2,7.0,1.0,5.0,1.0,1.64,1.08,-1.08,41.7,,,,,
FF,2025-06-27,92.3,-2.42,6.07,"Sugano, Tomoyuki",666018,608372,field_out,hit_into_play,,,,,3.0,Jonathan Aranda flies out to center fielder Cedric Mullins.,R,L,R,BAL,TB,X,8.0,fly_ball,1,2,2025,-0.43,1.37,0.31,3.46,,,,0,5,Top,151.0,55.62,,,,,7.879538912450246,-134.2362235867798,-3.842753382504717,-6.86052739782068,27.150313808491756,-14.869240386402314,3.42,1.59,360.0,98.5,32.0,92.6,2401.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.18,0.369,0.701,0.0,1.0,0.0,0.0,5.0,44,4,4-Seam Fastball,5,7,7,5,7,5,7,5,Infield shade,Standard,209.0,0.017,-0.193,68.6,6.6,1.351,0.193,98.5,-2,2,0.239,0.761,35,27,36,27,3,2,7.0,1.0,5.0,1.0,1.29,0.43,-0.43,41.1,18.053848448553808,0.9821586510601396,26.625842387457908,33.17487317371208,31.225771298056557
SI,2025-06-27,91.5,-2.27,6.08,"Sugano, Tomoyuki",666018,608372,,called_strike,,,,,2.0,Jonathan Aranda flies out to center fielder Cedric Mullins.,R,L,R,BAL,TB,S,,,1,1,2025,-0.85,0.87,0.2,3.17,,,,0,5,Top,,,,,,,8.058352557451897,-133.01916647745747,-3.3185349360768863,-11.899122159594228,29.188065978951585,-21.301533165490497,3.47,1.5,,,,91.2,2228.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.3,,,,,,,,44,3,Sinker,5,7,7,5,7,5,7,5,Infield shade,Standard,202.0,0.0,-0.06,,,,0.06,,-2,2,0.239,0.761,35,27,36,27,3,2,7.0,1.0,5.0,1.0,1.86,0.85,-0.85,43.1,,,,,
FF,2025-06-27,90.6,-2.25,6.18,"Sugano, Tomoyuki",666018,608372,,ball,,,,,12.0,Jonathan Aranda flies out to center fielder Cedric Mullins.,R,L,R,BAL,TB,B,,,0,1,2025,-0.21,1.52,0.21,4.6,,,,0,5,Top,,,,,,,6.569567441484536,-131.89322589017672,-1.2727895974689991,-3.788422156450429,27.401835962034603,-14.336645217131506,3.34,1.41,,,,90.6,2425.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.32,,,,,,,,44,2,4-Seam Fastball,5,7,7,5,7,5,7,5,Infield shade,Standard,205.0,0.0,0.031,,,,-0.031,,-2,2,0.239,0.761,35,27,36,27,3,2,7.0,1.0,5.0,1.0,1.25,0.21,-0.21,45.0,,,,,
FF,2025-06-27,91.7,-2.41,6.03,"Sugano, Tomoyuki",666018,608372,,called_strike,,,,,2.0,Jonathan Aranda flies out to center fielder Cedric Mullins.,R,L,R,BAL,TB,S,,,0,0,2025,-0.59,1.44,-0.03,3.28,,,,0,5,Top,,,,,,,7.286700842357961,-133.43064375370494,-4.2362099488468905,-8.608859661750326,27.553367470757216,-14.210730972288795,3.39,1.54,,,,91.8,2391.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.23,,,,,,,,44,1,4-Seam Fastball,5,7,7,5,7,5,7,5,Infield shade,Standard,209.0,0.0,-0.04,,,,0.04,,-2,2,0.239,0.761,35,27,36,27,3,2,7.0,1.0,5.0,1.0,1.26,0.59,-0.59,40.5,,,,,
CU,2025-06-27,79.1,-2.22,6.19,"Sugano, Tomoyuki",691406,608372,force_out,hit_into_play,,,,,14.0,"Junior Caminero grounds into a force out, third baseman Ramón Urías to second baseman Jackson Holliday. Brandon Lowe out at 2nd.",R,R,R,BAL,TB,X,5.0,ground_ball,0,0,2025,1.07,-1.05,0.14,1.01,650490.0,,664040.0,2,4,Top,107.22,166.88,,,,,3.146769405832204,-115.22830456366091,-2.5380660827395523,8.921387327684851,21.94917758987781,-41.28694853138487,3.52,1.64,4.0,97.1,-19.0,79.1,2792.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.2,0.149,0.13,0.0,1.0,0.0,0.0,2.0,39,1,Curveball,5,7,7,5,7,5,7,5,Standard,Standard,45.0,0.039,-0.286,80.4,8.6,0.16,0.286,97.1,-2,2,0.261,0.739,35,21,36,22,3,2,7.0,1.0,5.0,1.0,4.7,-1.07,-1.07,46.0,7.719446391316534,-8.931823923352086,32.28458396985647,36.70632283744896,41.28257257019978
FS,2025-06-27,88.1,-2.45,6.02,"Sugano, Tomoyuki",664040,608372,single,hit_into_play,,,,,8.0,Brandon Lowe singles on a line drive to left fielder Colton Cowser. Danny Jansen scores. Yandy Díaz to 3rd.,R,L,R,BAL,TB,X,7.0,line_drive,0,0,2025,-1.0,0.39,-0.11,1.36,,643376.0,650490.0,2,4,Top,97.94,88.93,,,,,7.75687914921926,-128.1229426226348,-6.098046355281079,-12.566787227594508,24.470655867687334,-26.786757072300475,3.28,1.46,243.0,93.0,16.0,88.5,1857.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.11,0.8,0.744,0.9,1.0,1.0,0.0,4.0,38,1,Split-Finger,5,6,6,5,7,5,7,5,Standard,Standard,216.0,-0.116,0.548,78.6,7.2,0.951,-0.548,93.0,-1,1,0.377,0.623,35,30,36,31,3,2,7.0,1.0,5.0,1.0,2.53,1.0,-1.0,41.5,4.926517799529632,3.886004798922981,44.88454326352238,36.335647456912035,29.711010892576063
