pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-01,94.1,2.25,5.43,"Kikuchi, Yusei",701358,579328,single,hit_into_play,,,,,5.0,Cam Smith singles on a line drive to left fielder Matthew Lugo.,R,R,L,HOU,LAA,X,7.0,line_drive,3,1,2025,0.77,1.43,-0.23,2.45,,,,2,6,Bot,99.04,102.11,,,,,-8.212019742377834,-136.7364926167242,-5.1929184845804315,11.466648752160518,31.42823376952605,-13.326716698102516,3.41,1.54,252.0,98.4,13.0,94.9,2287.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.57,0.951,0.906,0.9,1.0,1.0,0.0,4.0,47,5,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,141.0,0.012,0.176,76.3,7.4,1.132,-0.176,98.4,1,1,0.71,0.71,34,22,34,22,3,2,6.0,2.0,,1.0,1.16,0.77,-0.77,36.6,8.07732897189997,0.2252793073358587,38.39932596336178,35.79999872093118,28.57869543157971
SL,2025-09-01,86.0,2.23,5.43,"Kikuchi, Yusei",701358,579328,,ball,,,,,13.0,Cam Smith singles on a line drive to left fielder Matthew Lugo.,R,R,L,HOU,LAA,B,,,2,1,2025,-0.3,-0.02,-1.04,0.63,,,,2,6,Bot,,,,,,,-7.236525428998821,-125.09230425776671,-5.159551339201573,-1.6463818684686229,25.459791836088772,-31.52562676174509,3.27,1.56,,,,87.0,2475.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.51,,,,,,,,47,4,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,286.0,0.0,0.113,,,,-0.113,,1,1,0.71,0.71,34,22,34,22,3,2,6.0,2.0,,1.0,3.11,-0.3,0.3,40.1,,,,,
SL,2025-09-01,83.6,2.31,5.35,"Kikuchi, Yusei",701358,579328,,called_strike,,,,,13.0,Cam Smith singles on a line drive to left fielder Matthew Lugo.,R,R,L,HOU,LAA,S,,,2,0,2025,-0.36,-0.31,-0.89,2.26,,,,2,6,Bot,,,,,,,-6.712451045870863,-121.50565607414516,-0.0224518031804406,-2.200609113744797,25.045525882926896,-35.4545340295924,3.33,1.58,,,,84.3,2437.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.58,,,,,,,,47,3,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,305.0,0.0,-0.067,,,,0.067,,1,1,0.71,0.71,34,22,34,22,3,2,6.0,2.0,,1.0,3.59,-0.36,0.36,38.4,,,,,
FF,2025-09-01,94.3,2.34,5.37,"Kikuchi, Yusei",701358,579328,,ball,,,,,13.0,Cam Smith singles on a line drive to left fielder Matthew Lugo.,R,R,L,HOU,LAA,B,,,1,0,2025,0.75,1.03,-0.87,2.24,,,,2,6,Bot,,,,,,,-10.086126441019765,-136.78925904904617,-4.6759266400451995,11.7418033264284,32.94500850657806,-18.410388329392728,3.36,1.59,,,,94.6,2213.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.64,,,,,,,,47,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,135.0,0.0,0.067,,,,-0.067,,1,1,0.71,0.71,34,22,34,22,3,2,6.0,2.0,,1.0,1.57,0.75,-0.75,37.5,,,,,
FF,2025-09-01,93.7,2.29,5.52,"Kikuchi, Yusei",701358,579328,,ball,,,,,12.0,Cam Smith singles on a line drive to left fielder Matthew Lugo.,R,R,L,HOU,LAA,B,,,0,0,2025,0.75,1.07,0.21,4.1,,,,2,6,Bot,,,,,,,-7.1050991524909675,-136.1773851229147,-0.1995377785701004,11.03168463889809,32.728625497418285,-19.192383551720766,3.27,1.45,,,,94.1,2243.0,6.8,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.68,,,,,,,,47,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,143.0,0.0,0.039,,,,-0.039,,1,1,0.71,0.71,34,22,34,22,3,2,6.0,2.0,,1.0,1.56,0.75,-0.75,36.7,,,,,
SL,2025-09-01,84.1,2.13,5.46,"Kikuchi, Yusei",602104,579328,strikeout,swinging_strike_blocked,,,,,13.0,Ramón Urías strikes out swinging.,R,R,L,HOU,LAA,S,2.0,,2,2,2025,-0.44,-0.4,-0.79,0.86,,,,1,6,Bot,,,,,,,-5.980401976542195,-122.28714382141165,-3.46792572858976,-3.162110652685462,25.731337325267106,-35.627633445004115,3.24,1.57,,,,84.8,2539.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.53,,0.0,0.0,1.0,0.0,0.0,,46,5,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,299.0,-0.015,-0.231,69.2,8.8,,0.231,,1,1,0.725,0.725,34,31,34,31,3,2,6.0,1.0,,1.0,3.64,-0.44,0.44,39.1,19.084959928349654,-32.468855696896156,33.908249169354534,27.13196419477223,48.28447968013232
SL,2025-09-01,83.4,2.29,5.4,"Kikuchi, Yusei",602104,579328,,foul,,,,,7.0,Ramón Urías strikes out swinging.,R,R,L,HOU,LAA,S,,,2,1,2025,-0.35,-0.17,-0.45,1.82,,,,1,6,Bot,,,,,,,-5.681982938024593,-121.45069794393604,-1.468944540766863,-2.3164211875000595,23.868126799045196,-33.76795433759311,3.24,1.57,4.0,82.3,-29.0,84.3,2471.0,6.8,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.68,,,,,,,,46,4,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,281.0,0.0,-0.07,74.4,8.1,,0.07,88.0,1,1,0.725,0.725,34,31,34,31,3,2,6.0,1.0,,1.0,3.44,-0.35,0.35,37.4,17.44333032442658,-16.425389726110915,28.134576543348167,29.373438956374876,38.29505828709297
CH,2025-09-01,83.2,2.07,5.43,"Kikuchi, Yusei",602104,579328,,ball,,,,,13.0,Ramón Urías strikes out swinging.,R,R,L,HOU,LAA,B,,,1,1,2025,0.96,1.26,-0.73,0.98,,,,1,6,Bot,,,,,,,-8.425674291271479,-120.71884419416727,-6.2708516536653125,11.077144431164168,23.662941491318303,-18.738816344215248,3.15,1.6,,,,84.2,1645.0,7.1,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.4,,,,,,,,46,3,Changeup,4,3,4,3,3,4,4,3,Infield shade,Standard,143.0,0.0,0.055,,,,-0.055,,1,1,0.725,0.725,34,31,34,31,3,2,6.0,1.0,,1.0,2.05,0.96,-0.96,44.6,,,,,
FF,2025-09-01,92.6,2.22,5.35,"Kikuchi, Yusei",602104,579328,,called_strike,,,,,4.0,Ramón Urías strikes out swinging.,R,R,L,HOU,LAA,S,,,1,0,2025,0.56,1.13,-0.66,2.52,,,,1,6,Bot,,,,,,,-8.673923562536153,-134.59509598533373,-3.906147436538116,8.663263321370012,28.934283838766422,-17.793953506793503,3.24,1.6,,,,93.6,2159.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.59,,,,,,,,46,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,134.0,0.0,-0.05,,,,0.05,,1,1,0.725,0.725,34,31,34,31,3,2,6.0,1.0,,1.0,1.53,0.56,-0.56,37.3,,,,,
FF,2025-09-01,93.4,2.27,5.49,"Kikuchi, Yusei",602104,579328,,ball,,,,,12.0,Ramón Urías strikes out swinging.,R,R,L,HOU,LAA,B,,,0,0,2025,0.58,1.2,0.37,3.72,,,,1,6,Bot,,,,,,,-6.2464746936017,-135.89756940672902,-1.4264527065857548,8.59546504278072,30.919340796859252,-17.202406944130267,3.24,1.53,,,,94.1,2094.0,6.8,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.73,,,,,,,,46,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,141.0,0.0,0.04,,,,-0.04,,1,1,0.725,0.725,34,31,34,31,3,2,6.0,1.0,,1.0,1.42,0.58,-0.58,37.6,,,,,
