pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-09-05,89.7,-2.55,5.56,"Ohtani, Shohei",656896,660271,strikeout,swinging_strike,,,,,14,Emmanuel Rivera strikes out swinging.,R,R,R,BAL,LAD,S,2.0,,1,2,2025,1.14,0.35,1.12,2.32,663624.0,,,1,4,Bot,,,,,,,6.704187351272371,-130.5585861828547,-2.7845065857595506,11.610549812714709,27.821314562245934,-27.742858896811413,3.42,1.66,,,,90.1,2827,6.5,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.95,,0.0,0.0,1.0,0.0,0.0,,32,5,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,68,-0.077,-0.322,63.7,7.7,,0.322,,0,0,0.624,0.624,30,29,31,29,2,1,,,,,2.48,-1.14,-1.14,,19.343142152416775,-25.397058739766376,26.44688383728813,44.32023324011275,45.35090939215194
CU,2025-09-05,84.7,-2.08,6.19,"Ohtani, Shohei",656896,660271,,ball,,,,,14,Emmanuel Rivera strikes out swinging.,R,R,R,BAL,LAD,B,,,0,2,2025,0.87,-1.09,0.61,0.79,663624.0,,,1,4,Bot,,,,,,,4.54143643822902,-123.2092559745085,-4.007726322186171,7.805277114816524,27.418217899632605,-42.56528483796542,3.42,1.66,,,,84.7,2794,6.6,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.89,,,,,,,,32,4,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,48,0.0,0.037,,,,-0.037,,0,0,0.624,0.624,30,29,31,29,2,1,,,,,4.31,-0.87,-0.87,,,,,,
FF,2025-09-05,101.5,-2.4,5.7,"Ohtani, Shohei",656896,660271,,foul,,,,,12,Emmanuel Rivera strikes out swinging.,R,R,R,BAL,LAD,S,,,0,2,2025,-0.11,1.2,0.23,3.82,663624.0,,,1,4,Bot,,,,,,,7.6811030181083,-147.5972011189361,-2.83311001366858,-3.504783228559585,35.423073926026184,-14.1842861223877,3.42,1.66,,,,102.1,2583,6.7,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.85,,,,,,,,32,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,217,0.0,0.0,62.1,6.3,,0.0,,0,0,0.624,0.624,30,29,31,29,2,1,,,,,1.02,0.11,0.11,,10.803143171953948,6.051397434969836,21.20807731489643,37.29161624968951,20.945330614248633
FF,2025-09-05,100.2,-2.57,5.68,"Ohtani, Shohei",656896,660271,,foul,,,,,5,Emmanuel Rivera strikes out swinging.,R,R,R,BAL,LAD,S,,,0,1,2025,-0.12,1.08,0.14,2.85,663624.0,,,1,4,Bot,,,,,,,7.810366744795165,-145.8032588232152,-5.068002993608963,-3.4829956904116663,33.02858088391459,-15.787535415461658,3.42,1.66,227.0,83.8,57.0,100.9,2603,6.6,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.93,,,,,,,,32,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,214,0.0,-0.098,68.6,6.7,,0.098,88.0,0,0,0.624,0.624,30,29,31,29,2,1,,,,,1.19,0.12,0.12,,7.386654469390832,10.844437988684064,29.756197357565508,37.50827525394188,27.63441411560006
FF,2025-09-05,100.6,-2.3,5.76,"Ohtani, Shohei",656896,660271,,swinging_strike,,,,,5,Emmanuel Rivera strikes out swinging.,R,R,R,BAL,LAD,S,,,0,0,2025,-0.39,1.33,0.11,2.69,663624.0,,,1,4,Bot,,,,,,,7.642816328738096,-146.34487266986784,-6.421757049262781,-7.267371752989693,32.551440635601466,-11.684314886718504,3.42,1.66,,,,101.5,2601,6.7,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.84,,,,,,,,32,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,217,0.0,-0.044,73.4,6.9,,0.044,,0,0,0.624,0.624,30,29,31,29,2,1,,,,,0.91,0.39,0.39,,4.445580722359359,9.020871328823135,31.17201630059586,37.327050463433864,22.92194754888794
FF,2025-09-05,100.9,-2.46,5.75,"Ohtani, Shohei",681297,660271,strikeout,swinging_strike,,,,,11,Colton Cowser strikes out swinging.,R,L,R,BAL,LAD,S,2.0,,3,2,2025,-0.23,1.18,-0.64,4.0,663624.0,,,0,4,Bot,,,,,,,5.671654075673502,-146.86777808658977,-2.3875577343538548,-4.6523640194078615,33.46599772356278,-14.64772083717628,3.33,1.65,,,,101.8,2608,6.7,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.8,,0.0,0.0,1.0,0.0,0.0,,31,9,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,206,-0.046,-0.345,36.8,4.6,,0.345,,0,0,0.67,0.67,30,25,31,25,2,1,,,,,1.05,0.23,-0.23,,-16.85265159810715,51.702184573548806,35.168383946431796,41.14148704661747,1.0767745315644142
ST,2025-09-05,88.1,-2.46,5.71,"Ohtani, Shohei",681297,660271,,foul,,,,,2,Colton Cowser strikes out swinging.,R,L,R,BAL,LAD,S,,,3,2,2025,1.1,0.53,0.23,3.07,663624.0,,,0,4,Bot,,,,,,,4.241520364551579,-128.2529455469495,-1.4231629955348573,11.22151101248415,27.656999728980825,-26.233319253109457,3.33,1.65,239.0,95.1,18.0,88.1,2677,6.4,776454,687221,518692,500743,571771,605141,624424,681624,606192,54.11,,,,,,,,31,8,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,65,0.0,0.0,74.8,8.0,,0.0,95.1,0,0,0.67,0.67,30,25,31,25,2,1,,,,,2.41,-1.1,1.1,,29.235524911463003,-25.9691070907072,35.66256950800718,35.1692751994451,52.908539573306285
CU,2025-09-05,81.4,-1.92,6.27,"Ohtani, Shohei",681297,660271,,ball,,,,,14,Colton Cowser strikes out swinging.,R,L,R,BAL,LAD,B,,,2,2,2025,0.93,-1.3,1.23,1.02,663624.0,,,0,4,Bot,,,,,,,5.3261334065921355,-118.38463162944032,-2.5405069051776765,7.367592285198855,27.552269620937498,-43.897464255473686,3.33,1.65,,,,81.2,2731,6.7,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.8,,,,,,,,31,7,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,35,0.0,0.053,,,,-0.053,,0,0,0.67,0.67,30,25,31,25,2,1,,,,,4.81,-0.93,0.93,,,,,,
SL,2025-09-05,91.4,-2.19,6.26,"Ohtani, Shohei",681297,660271,,foul,,,,,1,Colton Cowser strikes out swinging.,R,L,R,BAL,LAD,S,,,2,2,2025,0.36,-0.02,-0.58,2.88,663624.0,,,0,4,Bot,,,,,,,3.296008222377681,-133.1695819455528,-2.641141180726439,3.648590374973782,27.107785192369597,-32.09226404058905,3.33,1.65,,,,92.0,2565,6.4,776454,687221,518692,500743,571771,605141,624424,681624,606192,54.06,,,,,,,,31,6,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,97,0.0,0.0,72.0,6.8,,0.0,,0,0,0.67,0.67,30,25,31,25,2,1,,,,,2.73,-0.36,0.36,,15.42066142491442,3.963405514754772,30.494605965253335,42.71176323957071,37.47605364420147
FF,2025-09-05,101.4,-2.7,5.54,"Ohtani, Shohei",681297,660271,,foul,,,,,2,Colton Cowser strikes out swinging.,R,L,R,BAL,LAD,S,,,2,2,2025,-0.61,1.31,0.08,3.02,663624.0,,,0,4,Bot,,,,,,,9.252535886024434,-147.40483634072532,-4.909124796395978,-11.04096310443452,35.03062848175388,-12.017205210811134,3.33,1.65,203.0,73.7,57.0,102.0,2582,6.7,776454,687221,518692,500743,571771,605141,624424,681624,606192,53.84,,,,,,,,31,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,229,0.0,0.0,72.2,6.3,,0.0,88.0,0,0,0.67,0.67,30,25,31,25,2,1,,,,,0.91,0.61,-0.61,,3.0594051176571995,5.51269534592617,38.000623732731654,34.34433751648503,25.48131860994723
