pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-05-09,96.5,-2.31,6.06,"Sasaki, Roki",606466,808963,walk,ball,,,,,11,Ketel Marte walks.,R,L,R,AZ,LAD,B,,,3,2,2025,-0.84,1.08,-1.85,3.02,,,,0,5,Bot,,,,,,,3.197606106809907,-140.54324461783082,-5.087922384544746,-11.886502283211607,31.66021031721037,-16.901685577116066,3.71,1.74,,,,98.1,2109,7.1,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.36,,0.693064,0.7,1.0,0.0,0.0,,48,7,4-Seam Fastball,4,8,4,8,8,4,4,8,Infield shade,Standard,221,0.033,0.354,,,,-0.354,,-4,-4,0.111,0.111,23,31,24,32,3,2,6.0,1.0,,1.0,1.36,0.84,-0.84,42.1,,,,,
FS,2025-05-09,84.1,-2.38,6.17,"Sasaki, Roki",606466,808963,,ball,,,,,11,Ketel Marte walks.,R,L,R,AZ,LAD,B,,,2,2,2025,0.11,-0.5,-2.32,3.44,,,,0,5,Bot,,,,,,,-0.0773069694503101,-122.5582470508332,1.0732394420333795,1.0782088412053372,23.9004507304724,-37.68169529320891,3.68,1.73,,,,85.7,465,7.2,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.32,,,,,,,,48,6,Split-Finger,4,8,4,8,8,4,4,8,Infield shade,Standard,325,0.0,0.116,,,,-0.116,,-4,-4,0.111,0.111,23,31,24,32,3,2,6.0,1.0,,1.0,3.71,-0.11,0.11,43.1,,,,,
FS,2025-05-09,86.3,-2.37,6.15,"Sasaki, Roki",606466,808963,,foul,,,,,9,Ketel Marte walks.,R,L,R,AZ,LAD,S,,,2,2,2025,0.37,0.11,0.72,2.01,,,,0,5,Bot,,,,,,,6.721118937571794,-125.4359838007932,-3.840762636924379,2.4213646970164016,27.425317556624513,-30.42984258691999,3.62,1.74,266.0,80.5,28.0,87.5,403,7.3,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.23,,,,,,,,48,5,Split-Finger,4,8,4,8,8,4,4,8,Infield shade,Standard,307,0.0,0.0,75.2,8.7,,0.0,88.0,-4,-4,0.111,0.111,23,31,24,32,3,2,6.0,1.0,,1.0,2.98,-0.37,0.37,48.3,20.04869364898595,-25.15561252907188,34.18163488398462,24.09496864307657,43.97212452628224
SL,2025-05-09,83.1,-2.43,6.16,"Sasaki, Roki",606466,808963,,ball,,,,,4,Ketel Marte walks.,R,L,R,AZ,LAD,B,,,1,2,2025,0.8,0.33,-0.73,2.56,,,,0,5,Bot,,,,,,,2.3859602766364056,-121.0577416960025,-2.453495395453555,7.351040387166109,23.82160602630163,-28.67804754208852,3.5,1.66,,,,84.5,1868,7.1,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.36,,,,,,,,48,4,Slider,4,8,4,8,8,4,4,8,Infield shade,Standard,42,0.0,0.042,,,,-0.042,,-4,-4,0.111,0.111,23,31,24,32,3,2,6.0,1.0,,1.0,2.97,-0.8,0.8,46.6,,,,,
FS,2025-05-09,86.2,-2.4,6.14,"Sasaki, Roki",606466,808963,,ball,,,,,11,Ketel Marte walks.,R,L,R,AZ,LAD,B,,,0,2,2025,-0.24,-0.27,-0.97,2.89,,,,0,5,Bot,,,,,,,3.9485355517583782,-125.55072816587356,-0.9490170007053704,-3.391746382921762,26.167723888129853,-35.07579130369409,3.61,1.68,,,,87.6,456,7.2,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.33,,,,,,,,48,3,Split-Finger,4,8,4,8,8,4,4,8,Infield shade,Standard,311,0.0,0.025,,,,-0.025,,-4,-4,0.111,0.111,23,31,24,32,3,2,6.0,1.0,,1.0,3.34,0.24,-0.24,43.2,,,,,
FS,2025-05-09,86.6,-2.38,6.09,"Sasaki, Roki",606466,808963,,swinging_strike,,,,,14,Ketel Marte walks.,R,L,R,AZ,LAD,S,,,0,1,2025,-0.2,-0.01,0.97,0.51,,,,0,5,Bot,,,,,,,8.57088790551663,-125.74458723182154,-7.192713816356783,-3.902610609010059,26.47964779610069,-30.871371570291753,3.62,1.74,,,,88.0,452,7.4,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.14,,,,,,,,48,2,Split-Finger,4,8,4,8,8,4,4,8,Infield shade,Standard,271,0.0,-0.055,76.7,9.0,,0.055,,-4,-4,0.111,0.111,23,31,24,32,3,2,6.0,1.0,,1.0,3.07,0.2,-0.2,46.5,26.961926895421698,-41.54279597952888,45.34813081380096,21.488843402768964,59.53124337176163
FS,2025-05-09,84.0,-2.3,6.09,"Sasaki, Roki",606466,808963,,called_strike,,,,,4,Ketel Marte walks.,R,L,R,AZ,LAD,S,,,0,0,2025,-0.31,-0.22,-0.66,2.34,,,,0,5,Bot,,,,,,,4.495395946328904,-122.23210894262378,-1.8174797344698552,-4.062127064592153,25.901541404146673,-34.19680956249693,3.62,1.67,,,,85.2,382,7.3,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.25,,,,,,,,48,1,Split-Finger,4,8,4,8,8,4,4,8,Standard,Standard,293,0.0,-0.04,,,,0.04,,-4,-4,0.111,0.111,23,31,24,32,3,2,6.0,1.0,,1.0,3.47,0.31,-0.31,45.6,,,,,
FS,2025-05-09,85.1,-2.25,6.07,"Sasaki, Roki",682998,808963,field_out,hit_into_play,,,,,7,Corbin Carroll flies out to center fielder James Outman.,R,L,R,AZ,LAD,X,8.0,fly_ball,2,2,2025,-0.05,0.37,-0.62,1.96,,677950.0,672695.0,2,4,Bot,124.01,49.36,,,,,3.992082699813204,-123.80000414537048,-4.077472719505922,-1.4026641329180527,27.254437567034422,-27.766169763737132,3.23,1.54,380.0,100.3,34.0,86.4,604,7.3,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.16,0.409,0.81,0.0,1.0,0.0,0.0,5.0,44,6,Split-Finger,4,8,4,8,8,4,4,8,Standard,Standard,328,-0.034,-0.2,71.9,7.7,1.564,0.2,100.3,-4,-4,0.129,0.129,23,24,24,25,3,2,6.0,1.0,,1.0,2.81,0.05,-0.05,46.8,9.243995446963016,-2.614141997430403,27.571805911919487,44.740915613940864,38.050572338295325
FS,2025-05-09,85.5,-2.25,6.06,"Sasaki, Roki",682998,808963,,foul,,,,,7,Corbin Carroll flies out to center fielder James Outman.,R,L,R,AZ,LAD,S,,,1,2,2025,0.41,-0.17,-0.49,1.92,,677950.0,672695.0,2,4,Bot,,,,,,,3.3704467354694434,-124.42329393843768,-3.128924187881874,3.5092597738268068,27.17234797940066,-33.430678827386565,3.23,1.54,,,,86.7,453,7.2,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.26,,,,,,,,44,4,Split-Finger,4,8,4,8,8,4,4,8,Standard,Standard,332,0.0,0.0,74.7,7.7,,0.0,,-4,-4,0.129,0.129,23,24,24,25,3,2,6.0,1.0,,1.0,3.31,-0.41,0.41,45.4,14.656766903794212,2.0282643706657764,26.076794962420003,43.175050636552385,39.47950243288891
FS,2025-05-09,83.9,-2.27,6.09,"Sasaki, Roki",682998,808963,,called_strike,,,,,4,Corbin Carroll flies out to center fielder James Outman.,R,L,R,AZ,LAD,S,,,1,1,2025,0.43,0.07,-0.47,2.59,,677950.0,672695.0,2,4,Bot,,,,,,,3.3852212664547037,-122.15553391697895,-1.7916497697124407,3.5029730125289555,26.173474308865867,-31.35060913130117,3.22,1.57,,,,85.0,423,7.2,777988,669257,518692,500743,571771,605141,621035,681546,681624,53.32,,,,,,,,44,3,Split-Finger,4,8,4,8,8,4,4,8,Infield shade,Standard,333,0.0,-0.063,,,,0.063,,-4,-4,0.129,0.129,23,24,24,25,3,2,6.0,1.0,,1.0,3.19,-0.43,0.43,43.7,,,,,
