pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-08-31,96.2,-2.03,5.0,"Yamamoto, Yoshinobu",677950,808967,field_out,hit_into_play,,,,,4.0,Alek Thomas lines out to left fielder Enrique Hernández.,R,L,R,LAD,AZ,X,7.0,line_drive,0,0,2025,-0.61,1.11,-0.42,2.35,,,680728.0,2,7,Top,71.82,113.05,,,,,5.689457399009172,-139.99283964305445,-4.013178221298728,-9.325934561215233,29.97299901716896,-16.826401441442872,3.3,1.45,253.0,92.4,16.0,96.9,2332.0,6.6,776509,687221,518692,500743,690976,605141,571771,681624,669743,53.92,0.871,0.814,0.0,1.0,0.0,0.0,4.0,52,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Strategic,Standard,220.0,0.02,-0.273,62.2,6.5,1.021,0.273,92.4,3,-3,0.926,0.074,26,25,27,25,3,2,7.0,2.0,,1.0,1.34,0.61,-0.61,37.9,2.4699634484388877,24.94534262384472,28.440954153682327,38.407149070774665,22.286513211516187
CU,2025-08-31,76.7,-1.42,5.35,"Yamamoto, Yoshinobu",682988,808967,strikeout,swinging_strike_blocked,,,,,14.0,Tyler Locklear strikes out swinging.,R,R,R,LAD,AZ,S,2.0,,2,2,2025,0.98,-1.44,0.39,0.88,,,680728.0,1,7,Top,,,,,,,2.07593551680804,-111.57630456278976,0.3095671386359504,7.613272309800504,23.87938679500115,-44.32372929523575,3.47,1.56,,,,76.8,2841.0,6.8,776509,687221,518692,500743,690976,605141,571771,681624,669743,53.71,,0.0,0.0,1.0,0.0,0.0,,51,6,Curveball,4,1,1,4,1,4,1,4,Standard,Standard,31.0,0.028,-0.222,58.9,7.6,,0.222,,3,-3,0.898,0.102,26,24,27,25,3,2,7.0,1.0,,1.0,5.37,-0.98,-0.98,56.5,19.065138534731833,-9.32244138271868,36.55311460610524,41.28790920014083,35.928367675888346
FS,2025-08-31,91.5,-1.8,5.05,"Yamamoto, Yoshinobu",682988,808967,,ball,,,,,14.0,Tyler Locklear strikes out swinging.,R,R,R,LAD,AZ,B,,,1,2,2025,-0.84,-0.07,0.1,0.78,,,680728.0,1,7,Top,,,,,,,6.650842562957787,-133.17386862009653,-4.804449890899286,-11.346393705574329,26.850788396406234,-32.250150526200066,3.41,1.49,,,,92.5,1463.0,6.7,776509,687221,518692,500743,690976,605141,571771,681624,669743,53.78,,,,,,,,51,5,Split-Finger,4,1,1,4,1,4,1,4,Standard,Standard,238.0,0.0,0.043,,,,-0.043,,3,-3,0.898,0.102,26,24,27,25,3,2,7.0,1.0,,1.0,2.78,0.84,0.84,37.7,,,,,
SI,2025-08-31,95.8,-1.87,5.02,"Yamamoto, Yoshinobu",682988,808967,,ball,,,,,14.0,Tyler Locklear strikes out swinging.,R,R,R,LAD,AZ,B,,,0,2,2025,-1.11,1.21,0.35,0.95,,,680728.0,1,7,Top,,,,,,,8.395746095830603,-139.22220142929902,-7.96512226531342,-16.218318972998595,28.462913381773856,-14.762877731694346,3.3,1.44,,,,96.5,2348.0,6.6,776509,687221,518692,500743,690976,605141,571771,681624,669743,53.95,,,,,,,,51,4,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,212.0,0.0,0.01,,,,-0.01,,3,-3,0.898,0.102,26,24,27,25,3,2,7.0,1.0,,1.0,1.26,1.11,1.11,40.1,,,,,
SL,2025-08-31,86.5,-1.8,5.08,"Yamamoto, Yoshinobu",682988,808967,,foul,,,,,8.0,Tyler Locklear strikes out swinging.,R,R,R,LAD,AZ,S,,,0,2,2025,0.29,0.1,-0.06,2.1,,,680728.0,1,7,Top,,,,,,,3.563855564899055,-126.05325648524702,-1.1919233001676914,2.462797006354259,23.01530112815661,-31.02523277372735,3.47,1.56,4.0,72.3,-28.0,86.9,2746.0,6.3,776509,687221,518692,500743,690976,605141,571771,681624,669743,54.24,,,,,,,,51,3,Slider,4,1,1,4,1,4,1,4,Standard,Standard,75.0,0.0,0.0,77.5,7.7,,0.0,88.0,3,-3,0.898,0.102,26,24,27,25,3,2,7.0,1.0,,1.0,2.91,-0.29,-0.29,38.9,27.30248977645959,-18.657303622847667,30.435784253176298,36.693903601425376,36.28237793793784
FS,2025-08-31,91.3,-1.77,5.09,"Yamamoto, Yoshinobu",682988,808967,,called_strike,,,,,8.0,Tyler Locklear strikes out swinging.,R,R,R,LAD,AZ,S,,,0,1,2025,-1.07,0.33,-0.26,1.47,,,680728.0,1,7,Top,,,,,,,6.147115896486867,-132.9116114618333,-4.025278189434567,-13.99682491521258,25.192628104686165,-27.680503802795105,3.39,1.5,,,,92.3,1527.0,6.6,776509,687221,518692,500743,690976,605141,571771,681624,669743,53.92,,,,,,,,51,2,Split-Finger,4,1,1,4,1,4,1,4,Standard,Standard,236.0,0.0,-0.048,,,,0.048,,3,-3,0.898,0.102,26,24,27,25,3,2,7.0,1.0,,1.0,2.38,1.07,1.07,36.9,,,,,
SI,2025-08-31,95.3,-1.69,5.23,"Yamamoto, Yoshinobu",682988,808967,,swinging_strike,,,,,13.0,Tyler Locklear strikes out swinging.,R,R,R,LAD,AZ,S,,,0,0,2025,-1.42,0.84,-1.16,2.29,,,680728.0,1,7,Top,,,,,,,4.605132033995098,-138.76363683488722,-3.9881480310910216,-19.405069024619664,30.484563888405848,-20.64822335241764,3.47,1.56,,,,95.7,2251.0,6.4,776509,687221,518692,500743,690976,605141,571771,681624,669743,54.08,,,,,,,,51,1,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,214.0,0.0,-0.04,66.9,6.1,,0.04,,3,-3,0.898,0.102,26,24,27,25,3,2,7.0,1.0,,1.0,1.66,1.42,1.42,48.3,-1.2805041492790603,15.854585050584392,39.05743674520396,24.824101559055624,17.451364799838384
FC,2025-08-31,92.2,-1.93,5.16,"Yamamoto, Yoshinobu",680728,808967,single,hit_into_play,,,,,5.0,Adrian Del Castillo singles on a sharp ground ball to right fielder Alex Call.,R,L,R,LAD,AZ,X,9.0,ground_ball,2,0,2025,0.03,0.8,0.09,2.18,,,,1,7,Top,178.87,117.82,,,,,5.112435268708394,-134.306217103647,-3.5807515192180324,-0.6205016377103055,26.22067506032308,-21.88710559924606,3.42,1.61,87.0,105.9,3.0,93.2,2515.0,6.6,776509,687221,518692,500743,690976,605141,571771,681624,669743,53.92,0.526,0.483,0.9,1.0,1.0,0.0,4.0,50,3,Cutter,4,1,1,4,1,4,1,4,Strategic,Standard,205.0,-0.026,0.303,77.9,6.9,0.58,-0.303,105.9,3,-3,0.924,0.076,26,25,27,26,3,2,7.0,4.0,,1.0,1.85,-0.03,0.03,40.8,7.357592032596124,2.79507475011131,36.630378994726314,35.6937985188078,37.60936394387046
CU,2025-08-31,77.5,-1.74,5.41,"Yamamoto, Yoshinobu",680728,808967,,ball,,,,,14.0,Adrian Del Castillo singles on a sharp ground ball to right fielder Alex Call.,R,L,R,LAD,AZ,B,,,1,0,2025,1.0,-1.12,0.01,1.05,,,,1,7,Top,,,,,,,1.9149031152832243,-112.8276421999597,-0.2328803099092933,8.038897618588793,23.78460736778614,-41.83026527251348,3.26,1.44,,,,77.3,2794.0,6.5,776509,687221,518692,500743,690976,605141,571771,681624,669743,54.03,,,,,,,,50,2,Curveball,4,1,1,4,1,4,1,4,Infield shade,Standard,37.0,0.0,0.072,,,,-0.072,,3,-3,0.924,0.076,26,25,27,26,3,2,7.0,4.0,,1.0,4.96,-1.0,1.0,48.9,,,,,
FS,2025-08-31,92.1,-2.14,5.2,"Yamamoto, Yoshinobu",680728,808967,,ball,,,,,13.0,Adrian Del Castillo singles on a sharp ground ball to right fielder Alex Call.,R,L,R,LAD,AZ,B,,,0,0,2025,-1.01,0.1,-1.44,2.0,,,,1,7,Top,,,,,,,3.980728143845005,-134.29228291725832,-2.6319325499177397,-13.095259321242349,23.85841468750199,-30.644908152780054,3.39,1.51,,,,93.3,1515.0,6.5,776509,687221,518692,500743,690976,605141,571771,681624,669743,54.01,,,,,,,,50,1,Split-Finger,4,1,1,4,1,4,1,4,Standard,Standard,240.0,0.0,0.04,,,,-0.04,,3,-3,0.924,0.076,26,25,27,26,3,2,7.0,4.0,,1.0,2.54,1.01,-1.01,39.6,,,,,
